seed,arm,budget_kimg,nfe,fid50k_full,kid50k_full
3,A,256,1,331.88461674585875,0.3535317573723724
3,A,384,1,259.99023471585383,0.26822667291541524
3,A,512,1,23.892576660764625,0.01720810784284284
3,A,640,1,15.047251143677371,0.01020345477227227
3,A,768,1,12.677410137806897,0.00831522443193194
3,A,896,1,10.836304442869498,0.00687048167917915
3,A,1024,1,9.669405820296213,0.00599910773523523
3,B,256,1,310.50756280404903,0.3136369202802803
3,B,384,1,246.58832288648017,0.24878533269519515
3,B,512,1,23.48012958590614,0.01646217016016016
3,B,640,1,12.80566299436846,0.00827504128128129
3,B,768,1,10.834847321922702,0.00689271752502502
3,B,896,1,9.538515208681597,0.00605621807057058
3,B,1024,1,8.686351455868186,0.00543625286036034
3,C,256,1,318.17492909507325,0.3437222127627628
3,C,384,1,46.8479738649154,0.04064713827827829
3,C,512,1,30.198733114738125,0.02345240122372373
3,C,640,1,19.49960014041373,0.01436758067567565
3,C,768,1,14.93462509128731,0.01047448642642641
3,C,896,1,12.057970915426967,0.00798901768768768
3,C,1024,1,10.672001795929289,0.00681471153153153
3,D,256,1,329.2346175418478,0.3450168130030031
3,D,384,1,270.36046341640906,0.2744540346321322
3,D,512,1,54.7367036369794,0.04572459037787794
3,D,640,1,12.659450594994295,0.0082975331981982
3,D,768,1,11.337760552443488,0.00730625214964965
3,D,896,1,9.861019175816434,0.00612026133133132
3,D,1024,1,8.809199227910838,0.00531195611611611
4,A,256,1,310.2347909306416,0.31559229720720733
4,A,384,1,258.3484552716787,0.26056008428678695
4,A,512,1,32.76883034937084,0.02453629780030031
4,A,640,1,11.74599719860936,0.00712625040540537
4,A,768,1,10.198653922411369,0.00621757769519517
4,A,896,1,8.943642353203634,0.00539869715465466
4,A,1024,1,8.293418813661093,0.00499979117867869
4,B,256,1,306.77335397595016,0.3101226576226227
4,B,384,1,250.55440000201585,0.25212076559559554
4,B,512,1,28.403680839522742,0.0207175354054054
4,B,640,1,12.09621474798674,0.00738786865615616
4,B,768,1,10.523527837144677,0.00645294644644647
4,B,896,1,9.19198463741483,0.00553167755505506
4,B,1024,1,8.522227290963617,0.00515596509009011
4,C,256,1,304.566349502312,0.30721779285285283
4,C,384,1,252.3030818925729,0.25492985557557557
4,C,512,1,30.21181457863429,0.02216963605855855
4,C,640,1,13.614055489937982,0.0087123679204204
4,C,768,1,11.547573607240697,0.00730879328578578
4,C,896,1,9.822884137310307,0.00611106136136134
4,C,1024,1,9.200975862483872,0.00576502406156157
4,D,256,1,324.72233901409925,0.3391429953953954
4,D,384,1,269.52472904358206,0.27254608831581595
4,D,512,1,57.68866711495715,0.04869073087837841
4,D,640,1,13.114636186583516,0.00839302235485485
4,D,768,1,11.136399517822138,0.00692547953203203
4,D,896,1,9.478844645515082,0.00569498352352351
4,D,1024,1,8.594107335274355,0.00512510313063064
5,A,256,1,318.63897820926275,0.32943526971721726
5,A,384,1,213.02194705991937,0.21551419355855855
5,A,512,1,19.725624472339653,0.01418023750750745
5,A,640,1,11.868543461529708,0.00760932093093092
5,A,768,1,10.157980098289096,0.00629775945945944
5,A,896,1,9.041343881541234,0.00553119099599597
5,A,1024,1,8.379453301226578,0.0050541166216216
5,B,256,1,308.8550257374393,0.3261255791166166
5,B,384,1,147.36838487561118,0.1363833103678679
5,B,512,1,25.331948729454204,0.02012299433433435
5,B,640,1,10.88757966830422,0.00692313818818821
5,B,768,1,9.185658182810707,0.00562466059059061
5,B,896,1,8.364264480973786,0.00516839227477476
5,B,1024,1,7.783214036417319,0.00475308358358358
5,C,256,1,308.4143121109219,0.32573595695195195
5,C,384,1,146.47929947783544,0.13549293715715713
5,C,512,1,25.07244153159195,0.02019309345595593
5,C,640,1,10.468658583460895,0.00662556788538538
5,C,768,1,8.882883577478811,0.00537620310560563
5,C,896,1,8.103217452679331,0.00490543000500497
5,C,1024,1,7.642574268375872,0.00461019918918915
5,D,256,1,315.20046909386485,0.32975621605855865
5,D,384,1,183.4151264669092,0.17896841561561552
5,D,512,1,27.527849446286854,0.02126890740490487
5,D,640,1,11.701485910281338,0.00760338158158159
5,D,768,1,9.462263398112936,0.00572312262762762
5,D,896,1,8.287153874416738,0.00492467802802801
5,D,1024,1,7.793688236910658,0.00459597768018018
3,A,256,2,238.7743077133635,0.2527617811186186
3,A,384,2,108.93945261250435,0.10114849194194188
3,A,512,2,13.73743199051474,0.00910838400900899
3,A,640,2,4.270274590715882,0.00146374980230229
3,A,768,2,3.32183165127187,0.0016107859934935
3,A,896,2,3.064295375608123,0.00137666965465462
3,A,1024,2,2.866395993060456,0.00105358920670667
3,B,256,2,100.49738349413276,0.0882065039039039
3,B,384,2,43.51187332074544,0.03237290638388389
3,B,512,2,4.872803567215304,0.00225725258508506
3,B,640,2,3.63406789419328,0.00214143878628627
3,B,768,2,3.006762653715344,0.00129154753003
3,B,896,2,2.848806275331812,0.00104874461211213
3,B,1024,2,2.8315297837924347,9.8939106606605e-4
3,C,256,2,294.1033972824922,0.31220391765015015
3,C,384,2,155.09414869672676,0.1610858221996997
3,C,512,2,38.03046029566098,0.02824623758508506
3,C,640,2,8.736602336437295,0.00503297007257259
3,C,768,2,3.5892582263905437,0.00133190543043045
3,C,896,2,3.271691840476438,0.00172169446446444
3,C,1024,2,3.084804855317648,0.00135488548298297
3,D,256,2,194.67010904240104,0.20275556081081084
3,D,384,2,73.6247171358762,0.05928476413913913
3,D,512,2,14.35674276246164,0.00938958283283283
3,D,640,2,3.722394975417609,0.00169943325825825
3,D,768,2,3.287218031657286,0.00156818659409405
3,D,896,2,2.970605221349395,0.00112778747997998
3,D,1024,2,2.8512938747604104,9.5554858858858e-4
4,A,256,2,113.81654569504906,0.10391031795545544
4,A,384,2,43.18646475708533,0.03106401288538539
4,A,512,2,5.61748788679813,0.00246880681181181
4,A,640,2,3.770238426294504,0.00194809424424421
4,A,768,2,3.028551820629916,0.00121134516016016
4,A,896,2,2.800151963437917,9.6533956206204e-4
4,A,1024,2,2.7133168501776064,8.8547958958958e-4
4,B,256,2,112.89269919047312,0.10227062540540537
4,B,384,2,40.8416445492728,0.02914057984234234
4,B,512,2,4.897133613712015,0.00217555074074075
4,B,640,2,3.669307508700868,0.00180278536536535
4,B,768,2,3.0753346404388107,0.00119472849849849
4,B,896,2,2.872384019392004,0.00101183446946948
4,B,1024,2,2.7361113690415646,9.2354609859861e-4
4,C,256,2,103.0894889919684,0.09174665094094094
4,C,384,2,39.50285293843516,0.02809150366116113
4,C,512,2,5.002997522441148,0.00244418922172174
4,C,640,2,3.7539879080539857,0.00196034505005006
4,C,768,2,3.1045646018982462,0.00121859974224227
4,C,896,2,2.836131744509292,9.9538778528528e-4
4,C,1024,2,2.756843917243887,9.2856501751752e-4
4,D,256,2,176.96046030663268,0.18012139833333332
4,D,384,2,64.24104765240764,0.04941453403403403
4,D,512,2,12.089786006086785,0.00744718090590588
4,D,640,2,3.8134252650643328,0.00176643716216218
4,D,768,2,3.1315400829179074,0.00131534942192191
4,D,896,2,2.8723197695169995,0.0010372613813814
4,D,1024,2,2.7378472465880206,9.1698837587586e-4
5,A,256,2,75.2661948473377,0.06215003633383389
5,A,384,2,42.88808337825546,0.03427314804054057
5,A,512,2,4.655834727263966,0.00195192798798796
5,A,640,2,3.653128714080012,0.00220327337087087
5,A,768,2,3.074021130226909,0.00139530359859854
5,A,896,2,2.8946782736437364,0.00107545836586586
5,A,1024,2,2.8623330982260384,0.00103084516516516
5,B,256,2,70.23595119561487,0.05611856967717718
5,B,384,2,24.02604409635081,0.01494140712962959
5,B,512,2,6.42421940059645,0.00472042614114112
5,B,640,2,3.605789559663875,0.00178275016516514
5,B,768,2,3.026766441711365,0.00114481765265266
5,B,896,2,2.852106620746224,9.8959225975979e-4
5,B,1024,2,2.7611816139838266,9.3820034534535e-4
5,C,256,2,70.485689154033,0.05650742063813818
5,C,384,2,23.34579109368203,0.01454600575075075
5,C,512,2,6.4008379863739595,0.00476676158658657
5,C,640,2,3.555726412464465,0.00177573936186185
5,C,768,2,2.997338318081991,0.00108964843843842
5,C,896,2,2.8135397447394492,9.1744017517519e-4
5,C,1024,2,2.7530927749018868,9.0738104604607e-4
5,D,256,2,75.4079805426709,0.06210931345595592
5,D,384,2,32.32303673684555,0.02237171359359357
5,D,512,2,6.133229063513137,0.00408532765515513
5,D,640,2,3.758038482987416,0.00218307456956956
5,D,768,2,3.048156858836167,0.00117169673423424
5,D,896,2,2.804730221712354,9.1343149399402e-4
5,D,1024,2,2.756321127782452,8.9264200200199e-4
