seed,budget_kimg,contrast,fid_contrast
3,256,Complete: B - A,-21.37705394180972
3,384,Complete: B - A,-13.40191182937366
3,512,Complete: B - A,-0.4124470748584841
3,640,Complete: B - A,-2.241588149308912
3,768,Complete: B - A,-1.842562815884195
3,896,Complete: B - A,-1.297789234187901
3,1024,Complete: B - A,-0.9830543644280265
4,256,Complete: B - A,-3.4614369546914645
4,384,Complete: B - A,-7.7940552696628345
4,512,Complete: B - A,-4.365149509848095
4,640,Complete: B - A,0.3502175493773816
4,768,Complete: B - A,0.32487391473330796
4,896,Complete: B - A,0.24834228421119597
4,1024,Complete: B - A,0.22880847730252363
5,256,Complete: B - A,-9.783952471823454
5,384,Complete: B - A,-65.65356218430819
5,512,Complete: B - A,5.606324257114551
5,640,Complete: B - A,-0.980963793225488
5,768,Complete: B - A,-0.9723219154783891
5,896,Complete: B - A,-0.6770794005674485
5,1024,Complete: B - A,-0.5962392648092587
3,256,Target: C - A,-13.709687650785497
3,384,Target: C - A,-213.14226085093844
3,512,Target: C - A,6.3061564539735
3,640,Target: C - A,4.452348996736358
3,768,Target: C - A,2.257214953480414
3,896,Target: C - A,1.2216664725574695
3,1024,Target: C - A,1.002595975633076
4,256,Target: C - A,-5.668441428329629
4,384,Target: C - A,-6.045373379105797
4,512,Target: C - A,-2.557015770736548
4,640,Target: C - A,1.868058291328623
4,768,Target: C - A,1.348919684829328
4,896,Target: C - A,0.8792417841066733
4,1024,Target: C - A,0.9075570488227793
5,256,Target: C - A,-10.224666098340833
5,384,Target: C - A,-66.54264758208393
5,512,Target: C - A,5.346817059252295
5,640,Target: C - A,-1.3998848780688125
5,768,Target: C - A,-1.2750965208102851
5,896,Target: C - A,-0.9381264288619029
5,1024,Target: C - A,-0.7368790328507053
3,256,Denominator: D - A,-2.6499992040109532
3,384,Denominator: D - A,10.37022870055523
3,512,Denominator: D - A,30.844126976214774
3,640,Denominator: D - A,-2.3878005486830762
3,768,Denominator: D - A,-1.339649585363409
3,896,Denominator: D - A,-0.9752852670530636
3,1024,Denominator: D - A,-0.8602065923853743
4,256,Denominator: D - A,14.487548083457625
4,384,Denominator: D - A,11.176273771903368
4,512,Denominator: D - A,24.91983676558631
4,640,Denominator: D - A,1.3686389879741565
4,768,Denominator: D - A,0.9377455954107692
4,896,Denominator: D - A,0.5352022923114479
4,1024,Denominator: D - A,0.300688521613262
5,256,Denominator: D - A,-3.438509115397892
5,384,Denominator: D - A,-29.606820593010184
5,512,Denominator: D - A,7.802224973947201
5,640,Denominator: D - A,-0.1670575512483694
5,768,Denominator: D - A,-0.6957167001761597
5,896,Denominator: D - A,-0.754190007124496
5,1024,Denominator: D - A,-0.58576506431592
3,256,Interaction: B - C - D + A,-5.01736708701327
3,384,Interaction: B - C - D + A,189.37012032100955
3,512,Interaction: B - C - D + A,-37.56273050504676
3,640,Interaction: B - C - D + A,-4.306136597362194
3,768,Interaction: B - C - D + A,-2.7601281840012
3,896,Interaction: B - C - D + A,-1.5441704396923068
3,1024,Interaction: B - C - D + A,-1.1254437476757282
4,256,Interaction: B - C - D + A,-12.28054360981946
4,384,Interaction: B - C - D + A,-12.924955662460377
4,512,Interaction: B - C - D + A,-26.727970504697858
4,640,Interaction: B - C - D + A,-2.886479729925398
4,768,Interaction: B - C - D + A,-1.9617913655067891
4,896,Interaction: B - C - D + A,-1.1661017922069252
4,1024,Interaction: B - C - D + A,-0.9794370931335177
5,256,Interaction: B - C - D + A,3.879222741915271
5,384,Interaction: B - C - D + A,30.49590599078593
5,512,Interaction: B - C - D + A,-7.542717776084945
5,640,Interaction: B - C - D + A,0.5859786360916939
5,768,Interaction: B - C - D + A,0.9984913055080558
5,896,Interaction: B - C - D + A,1.0152370354189504
5,1024,Interaction: B - C - D + A,0.7264048323573666
