attempted_iteration,successful_optimizer_steps,processed_kimg,loss,grad_scale,step_skipped,schedule,stage,next_loop_cur_tick,loss_ema,loss_reference,correction,signal_updates,adaptive_active,r_over_t_mean,gap_mean,seconds,peak_vram_mib
1,0,0.128000,15.97663820,65536,true,adaptive_v1,0,1,,,0,0,0,0.985617611763,0.0143823882369,8.571893,5922.155520
2,0,0.256000,15.02455795,32768,true,adaptive_v1,0,1,,,0,0,0,0.985632538854,0.0143674611461,9.834616,2139.119616
3,0,0.384000,16.38218355,16384,true,adaptive_v1,0,1,,,0,0,0,0.985938287727,0.0140617122734,10.584494,2139.119616
4,0,0.512000,17.54660499,8192,true,adaptive_v1,0,1,16.2324961722,,0,1,0,0.985108195351,0.0148918046487,11.329769,2139.119616
5,0,0.640000,15.65527940,4096,true,adaptive_v1,0,1,16.2324961722,,0,1,0,0.986100688498,0.0138993115016,12.071714,2139.119616
6,0,0.768000,16.49589241,2048,true,adaptive_v1,0,1,16.2324961722,,0,1,0,0.985309774022,0.0146902259784,12.788970,2139.119616
7,0,0.896000,17.07062507,1024,true,adaptive_v1,0,1,16.2324961722,,0,1,0,0.985069129914,0.0149308700857,13.501504,2139.119616
8,0,1.024000,17.72678792,512,true,adaptive_v1,0,1,16.2829611748,16.2829611748,0,2,0,0.984782394382,0.0152176056182,14.220601,2139.119616
9,1,1.152000,15.91043890,256,false,adaptive_v1,0,1,16.2829611748,16.2829611748,0,2,0,0.985625582903,0.0143744170974,15.003252,2139.119616
10,2,1.280000,16.55839896,256,false,adaptive_v1,0,1,16.2829611748,16.2829611748,0,2,0,0.985928909818,0.0140710901825,15.742056,2565.264384
11,2,1.408000,30.67288423,256,true,adaptive_v1,0,1,16.2829611748,16.2829611748,0,2,0,0.985685323783,0.0143146762174,16.468132,2565.264384
12,3,1.536000,27.70777225,128,false,adaptive_v1,0,1,16.9259024158,16.2829611748,-0.00193532770471,3,1,0.986457861945,0.0135421380545,17.233462,2565.264384
13,4,1.664000,31.32968545,128,false,adaptive_v1,0,1,16.9259024158,16.2829611748,-0.00193532770471,3,1,0.983639638144,0.0163603618555,18.011583,2565.264384
14,5,1.792000,32.67659473,128,false,adaptive_v1,0,1,16.9259024158,16.2829611748,-0.00193532770471,3,1,0.983124958749,0.0168750412506,18.764511,2565.264384
15,6,1.920000,34.10626149,128,false,adaptive_v1,0,1,16.9259024158,16.2829611748,-0.00193532770471,3,1,0.982894543371,0.0171054566294,19.548302,2565.264384
16,7,2.048000,37.18239355,128,false,adaptive_v1,0,1,18.6156855549,16.2829611748,-0.00665455090391,4,1,0.982258505989,0.0177414940113,20.302928,2565.264384
17,8,2.176000,29.60441709,128,false,adaptive_v1,0,1,18.6156855549,16.2829611748,-0.00665455090391,4,1,0.979240572727,0.0207594272734,21.055384,2565.264384
18,9,2.304000,28.97537351,128,false,adaptive_v1,0,1,18.6156855549,16.2829611748,-0.00665455090391,4,1,0.979330141848,0.0206698581519,21.804697,2565.264384
19,10,2.432000,32.55057311,128,false,adaptive_v1,0,1,18.6156855549,16.2829611748,-0.00665455090391,4,1,0.978399716154,0.0216002838463,22.658242,2565.264384
20,11,2.560000,31.69956326,128,false,adaptive_v1,0,1,19.8248651736,16.2829611748,-0.00971575561908,5,1,0.9787298788,0.0212701211997,23.420541,2565.264384
21,12,2.688000,30.82976842,128,false,adaptive_v1,0,1,19.8248651736,16.2829611748,-0.00971575561908,5,1,0.976193786884,0.0238062131163,24.162717,2565.264384
22,13,2.816000,35.03902245,128,false,adaptive_v1,0,1,19.8248651736,16.2829611748,-0.00971575561908,5,1,0.974988053881,0.0250119461186,24.918751,2565.264384
23,14,2.944000,33.08703637,128,false,adaptive_v1,0,1,19.8248651736,16.2829611748,-0.00971575561908,5,1,0.975322056928,0.0246779430721,25.684644,2565.264384
24,15,3.072000,31.51176167,128,false,adaptive_v1,0,1,21.1040683788,16.2829611748,-0.0126842142812,6,1,0.975633409659,0.0243665903406,26.461586,2565.264384
25,16,3.200000,29.58900881,128,false,adaptive_v1,0,1,21.1040683788,16.2829611748,-0.0126842142812,6,1,0.97272625414,0.0272737458601,27.230305,2565.264384
26,17,3.328000,29.42191505,128,false,adaptive_v1,0,1,21.1040683788,16.2829611748,-0.0126842142812,6,1,0.973360331036,0.0266396689639,27.974038,2565.264384
27,18,3.456000,31.57292032,128,false,adaptive_v1,0,1,21.1040683788,16.2829611748,-0.0126842142812,6,1,0.972695896866,0.0273041031337,28.712182,2565.264384
28,19,3.584000,33.80850625,128,false,adaptive_v1,0,1,22.1034703018,16.2829611748,-0.0148221508055,7,1,0.972018160537,0.0279818394625,29.439552,2565.264384
29,20,3.712000,29.53680587,128,false,adaptive_v1,0,1,22.1034703018,16.2829611748,-0.0148221508055,7,1,0.971277421218,0.0287225787818,30.184715,2565.264384
30,21,3.840000,31.85845685,128,false,adaptive_v1,0,1,22.1034703018,16.2829611748,-0.0148221508055,7,1,0.970399202625,0.0296007973747,30.926882,2565.264384
31,22,3.968000,29.66158175,128,false,adaptive_v1,0,1,22.1034703018,16.2829611748,-0.0148221508055,7,1,0.970963642628,0.0290363573718,31.666725,2565.264384
32,23,4.096000,31.16120934,128,false,adaptive_v1,0,2,22.948574617,16.2829611748,-0.0165137365832,8,1,0.97072027452,0.0292797254804,32.396376,2565.264384
