attempted_iteration,successful_optimizer_steps,processed_kimg,loss,grad_scale,step_skipped,schedule,stage,next_loop_cur_tick,loss_ema,loss_reference,correction,signal_updates,adaptive_active,r_over_t_mean,gap_mean,seconds,peak_vram_mib
1,0,0.128000,15.97663820,65536,true,adaptive_v1,0,1,,,0,0,0,0.985617611763,0.0143823882369,8.262961,5916.343296
2,0,0.256000,15.02455795,32768,true,adaptive_v1,0,1,,,0,0,0,0.985632538854,0.0143674611461,9.540332,2136.822784
3,0,0.384000,16.38218355,16384,true,adaptive_v1,0,1,,,0,0,0,0.985938287727,0.0140617122734,10.260136,2136.822784
4,0,0.512000,17.54660499,8192,true,adaptive_v1,0,1,16.2324961722,,0,1,0,0.985108195351,0.0148918046487,10.981559,2136.822784
5,0,0.640000,15.65527940,4096,true,adaptive_v1,0,1,16.2324961722,,0,1,0,0.986100688498,0.0138993115016,11.708640,2136.822784
6,0,0.768000,16.49589241,2048,true,adaptive_v1,0,1,16.2324961722,,0,1,0,0.985309774022,0.0146902259784,12.432247,2136.822784
7,0,0.896000,17.07062507,1024,true,adaptive_v1,0,1,16.2324961722,,0,1,0,0.985069129914,0.0149308700857,13.154754,2136.822784
8,0,1.024000,17.72678792,512,true,adaptive_v1,0,1,16.2829611748,16.2829611748,0,2,0,0.984782394382,0.0152176056182,13.883118,2136.822784
9,1,1.152000,15.91043890,256,false,adaptive_v1,0,1,16.2829611748,16.2829611748,0,2,0,0.985625582903,0.0143744170974,14.676241,2136.822784
10,2,1.280000,16.55839896,256,false,adaptive_v1,0,1,16.2829611748,16.2829611748,0,2,0,0.985928909818,0.0140710901825,15.429822,2562.343936
11,2,1.408000,30.67288423,256,true,adaptive_v1,0,1,16.2829611748,16.2829611748,0,2,0,0.985685323783,0.0143146762174,16.160434,2562.343936
12,3,1.536000,27.70777225,128,false,adaptive_v1,0,1,16.9259024158,16.2829611748,-0.00193532770471,3,1,0.986457861945,0.0135421380545,16.899306,2562.343936
13,4,1.664000,31.32968545,128,false,adaptive_v1,0,1,16.9259024158,16.2829611748,-0.00193532770471,3,1,0.983639638144,0.0163603618555,17.653099,2562.343936
14,5,1.792000,32.67659473,128,false,adaptive_v1,0,1,16.9259024158,16.2829611748,-0.00193532770471,3,1,0.983124958749,0.0168750412506,18.392758,2562.343936
15,6,1.920000,34.10626149,128,false,adaptive_v1,0,1,16.9259024158,16.2829611748,-0.00193532770471,3,1,0.982894543371,0.0171054566294,19.138976,2562.343936
16,7,2.048000,37.18239355,128,false,adaptive_v1,0,1,18.6156855549,16.2829611748,-0.00665455090391,4,1,0.982258505989,0.0177414940113,19.932421,2562.343936
17,8,2.176000,29.60441709,128,false,adaptive_v1,0,1,18.6156855549,16.2829611748,-0.00665455090391,4,1,0.979240572727,0.0207594272734,20.690535,2562.343936
18,9,2.304000,28.97537351,128,false,adaptive_v1,0,1,18.6156855549,16.2829611748,-0.00665455090391,4,1,0.979330141848,0.0206698581519,21.435432,2562.343936
19,10,2.432000,32.55057311,128,false,adaptive_v1,0,1,18.6156855549,16.2829611748,-0.00665455090391,4,1,0.978399716154,0.0216002838463,22.175127,2562.343936
20,11,2.560000,31.69956326,128,false,adaptive_v1,0,1,19.8248651736,16.2829611748,-0.00971575561908,5,1,0.9787298788,0.0212701211997,22.911999,2562.343936
21,12,2.688000,30.82976842,128,false,adaptive_v1,0,1,19.8248651736,16.2829611748,-0.00971575561908,5,1,0.976193786884,0.0238062131163,23.650995,2562.343936
22,13,2.816000,35.03902245,128,false,adaptive_v1,0,1,19.8248651736,16.2829611748,-0.00971575561908,5,1,0.974988053881,0.0250119461186,24.389722,2562.343936
23,14,2.944000,33.08703637,128,false,adaptive_v1,0,1,19.8248651736,16.2829611748,-0.00971575561908,5,1,0.975322056928,0.0246779430721,25.129604,2562.343936
24,15,3.072000,31.51176167,128,false,adaptive_v1,0,1,21.1040683788,16.2829611748,-0.0126842142812,6,1,0.975633409659,0.0243665903406,25.865741,2562.343936
25,16,3.200000,29.58900881,128,false,adaptive_v1,0,1,21.1040683788,16.2829611748,-0.0126842142812,6,1,0.97272625414,0.0272737458601,26.606208,2562.343936
26,17,3.328000,29.42191505,128,false,adaptive_v1,0,1,21.1040683788,16.2829611748,-0.0126842142812,6,1,0.973360331036,0.0266396689639,27.343042,2562.343936
27,18,3.456000,31.57292032,128,false,adaptive_v1,0,1,21.1040683788,16.2829611748,-0.0126842142812,6,1,0.972695896866,0.0273041031337,28.118339,2562.343936
28,19,3.584000,33.80850625,128,false,adaptive_v1,0,1,22.1034703018,16.2829611748,-0.0148221508055,7,1,0.972018160537,0.0279818394625,28.876139,2562.343936
29,20,3.712000,29.53680587,128,false,adaptive_v1,0,1,22.1034703018,16.2829611748,-0.0148221508055,7,1,0.971277421218,0.0287225787818,29.604585,2562.343936
30,21,3.840000,31.85845685,128,false,adaptive_v1,0,1,22.1034703018,16.2829611748,-0.0148221508055,7,1,0.970399202625,0.0296007973747,30.333313,2562.343936
31,22,3.968000,29.66158175,128,false,adaptive_v1,0,1,22.1034703018,16.2829611748,-0.0148221508055,7,1,0.970963642628,0.0290363573718,31.059943,2562.343936
32,23,4.096000,31.16120934,128,false,adaptive_v1,0,2,22.948574617,16.2829611748,-0.0165137365832,8,1,0.97072027452,0.0292797254804,31.787145,2562.343936
