metric,nfe,training_seed,fixed,adaptive_v2,delta_adaptive_minus_fixed,relative_delta_percent,adaptive_improved
kid5k_full,1,0,0.21997977793216705,0.22830194234848022,0.008322164416313171,3.783149748828001,False
kid5k_full,1,1,0.21456429362297058,0.2160215526819229,0.0014572590589523315,0.6791712797810651,False
kid5k_full,1,2,0.2150391936302185,0.22973228991031647,0.014693096280097961,6.8327526866401,False
kid5k_full,2,0,0.03741146996617317,0.03926736116409302,0.0018558911979198456,4.960754548265308,False
kid5k_full,2,1,0.03818077966570854,0.039602916687726974,0.0014221370220184326,3.724745891702422,False
kid5k_full,2,2,0.038379967212677,0.03860974684357643,0.00022977963089942932,0.5986967879001536,False
fid5k_full,1,0,225.52570783862797,231.53582991744744,6.010122078819478,2.6649387940819342,False
fid5k_full,1,1,221.44666718577528,222.07032261962445,0.6236554338491658,0.2816278256858889,False
fid5k_full,1,2,221.79992093906765,233.4235487578447,11.623627818777067,5.24059150677979,False
fid5k_full,2,0,51.708245611428964,52.998283286764604,1.2900376753356397,2.494839382155533,False
fid5k_full,2,1,51.038323089059546,52.347647675715585,1.3093245866560395,2.565375403050229,False
fid5k_full,2,2,52.066332161646294,52.33517683768982,0.26884467604352835,0.5163503263661192,False
