schedule,training_seed,nfe,metric,value
sigmoid,0,1,kid5k_full,0.21997977793216705
sigmoid,0,1,fid5k_full,225.52570783862797
sigmoid,0,2,kid5k_full,0.03741146996617317
sigmoid,0,2,fid5k_full,51.708245611428964
adaptive_v2_dualema,0,1,kid5k_full,0.22830194234848022
adaptive_v2_dualema,0,1,fid5k_full,231.53582991744744
adaptive_v2_dualema,0,2,kid5k_full,0.03926736116409302
adaptive_v2_dualema,0,2,fid5k_full,52.998283286764604
sigmoid,1,1,kid5k_full,0.21456429362297058
sigmoid,1,1,fid5k_full,221.44666718577528
sigmoid,1,2,kid5k_full,0.03818077966570854
sigmoid,1,2,fid5k_full,51.038323089059546
adaptive_v2_dualema,1,1,kid5k_full,0.2160215526819229
adaptive_v2_dualema,1,1,fid5k_full,222.07032261962445
adaptive_v2_dualema,1,2,kid5k_full,0.039602916687726974
adaptive_v2_dualema,1,2,fid5k_full,52.347647675715585
sigmoid,2,1,kid5k_full,0.2150391936302185
sigmoid,2,1,fid5k_full,221.79992093906765
sigmoid,2,2,kid5k_full,0.038379967212677
sigmoid,2,2,fid5k_full,52.066332161646294
adaptive_v2_dualema,2,1,kid5k_full,0.22973228991031647
adaptive_v2_dualema,2,1,fid5k_full,233.4235487578447
adaptive_v2_dualema,2,2,kid5k_full,0.03860974684357643
adaptive_v2_dualema,2,2,fid5k_full,52.33517683768982
