Method,Train seed,Budget,NFE,KID,FID,Checkpoint SHA
sigmoid,0,32,1,0.48868125677108765,435.11671879076783,cb196bf9d6ba0fdd20858cc64c59a138c625c7584a5a445a37f9bdf9380e8c71
sigmoid,0,32,2,0.3879791796207428,353.04425818876825,cb196bf9d6ba0fdd20858cc64c59a138c625c7584a5a445a37f9bdf9380e8c71
adaptive_v1,0,32,1,0.4890937805175781,435.31356889065256,a9f6c06d22e1e6409680efd31d43fe90714fec4a7b211ea4bd718a6cae810d9c
adaptive_v1,0,32,2,0.3888939917087555,353.5467423298096,a9f6c06d22e1e6409680efd31d43fe90714fec4a7b211ea4bd718a6cae810d9c
sigmoid,1,32,1,0.5125685930252075,441.65582202990106,e5cc717d278bcd9d5ab7930486c22ce1a81e915a502deb31e6265a3e4e126b90
sigmoid,1,32,2,0.21514341235160828,216.32016200544206,e5cc717d278bcd9d5ab7930486c22ce1a81e915a502deb31e6265a3e4e126b90
adaptive_v1,1,32,1,0.513994038105011,441.9636796001353,610f353f4afeebee9e4ab12ee1fa170365d0bb42d138aa0a06c0c087bc4e577e
adaptive_v1,1,32,2,0.21717694401741028,218.282160794282,610f353f4afeebee9e4ab12ee1fa170365d0bb42d138aa0a06c0c087bc4e577e
sigmoid,2,32,1,0.5092737078666687,448.6397706192315,3f1bf37bf6512751ab55bc89ad1971c98679c79d5b5979d20b4730d62c64e420
sigmoid,2,32,2,0.42143067717552185,374.85480094568607,3f1bf37bf6512751ab55bc89ad1971c98679c79d5b5979d20b4730d62c64e420
adaptive_v1,2,32,1,0.5107670426368713,449.4239786522884,1c2e266d2e9c02459f10fbbe53c1497e8df8c656d54ea53b6c7ab69c9b3c8060
adaptive_v1,2,32,2,0.42848312854766846,379.05337980788005,1c2e266d2e9c02459f10fbbe53c1497e8df8c656d54ea53b6c7ab69c9b3c8060
