attempted_iteration,successful_optimizer_steps,processed_nimg,processed_kimg,loss,grad_scale,step_skipped,schedule,stage,next_loop_cur_tick,loss_ema,loss_reference,correction,signal_updates,adaptive_active,r_over_t_mean,gap_mean,elapsed_sec,peak_vram_gb
1,0,128.0,0.128000,15.97663820,65536,1,adaptive_v1,0,1,,,0,0,0,0.985617611763,0.0143823882369,8.313589,5.777679
2,0,256.0,0.256000,15.02455795,32768,1,adaptive_v1,0,1,,,0,0,0,0.985632538854,0.0143674611461,9.626764,2.086741
3,0,384.0,0.384000,16.38218355,16384,1,adaptive_v1,0,1,,,0,0,0,0.985938287727,0.0140617122734,10.399148,2.086741
4,0,512.0,0.512000,17.54660499,8192,1,adaptive_v1,0,1,16.2324961722,,0,1,0,0.985108195351,0.0148918046487,11.173487,2.086741
5,0,640.0,0.640000,15.65527940,4096,1,adaptive_v1,0,1,16.2324961722,,0,1,0,0.986100688498,0.0138993115016,11.920606,2.086741
6,0,768.0,0.768000,16.49589241,2048,1,adaptive_v1,0,1,16.2324961722,,0,1,0,0.985309774022,0.0146902259784,12.665826,2.086741
7,0,896.0,0.896000,17.07062507,1024,1,adaptive_v1,0,1,16.2324961722,,0,1,0,0.985069129914,0.0149308700857,13.434455,2.086741
8,0,1024.0,1.024000,17.72678792,512,1,adaptive_v1,0,1,16.2829611748,16.2829611748,0,2,0,0.984782394382,0.0152176056182,14.185811,2.086741
9,1,1152.0,1.152000,15.91043890,256,0,adaptive_v1,0,1,16.2829611748,16.2829611748,0,2,0,0.985625582903,0.0143744170974,15.015316,2.086741
10,2,1280.0,1.280000,16.55839896,256,0,adaptive_v1,0,1,16.2829611748,16.2829611748,0,2,0,0.985928909818,0.0140710901825,15.781751,2.502289
11,2,1408.0,1.408000,30.67288423,256,1,adaptive_v1,0,1,16.2829611748,16.2829611748,0,2,0,0.985685323783,0.0143146762174,16.522214,2.502289
12,3,1536.0,1.536000,27.70777225,128,0,adaptive_v1,0,1,16.9259024158,16.2829611748,-0.00193532770471,3,1,0.986457861945,0.0135421380545,17.269210,2.502289
13,4,1664.0,1.664000,31.32968545,128,0,adaptive_v1,0,1,16.9259024158,16.2829611748,-0.00193532770471,3,1,0.983639638144,0.0163603618555,18.033282,2.502289
14,5,1792.0,1.792000,32.67659473,128,0,adaptive_v1,0,1,16.9259024158,16.2829611748,-0.00193532770471,3,1,0.983124958749,0.0168750412506,18.792103,2.502289
15,6,1920.0,1.920000,34.10626149,128,0,adaptive_v1,0,1,16.9259024158,16.2829611748,-0.00193532770471,3,1,0.982894543371,0.0171054566294,19.567079,2.502289
16,7,2048.0,2.048000,37.18239355,128,0,adaptive_v1,0,1,18.6156855549,16.2829611748,-0.00665455090391,4,1,0.982258505989,0.0177414940113,20.332182,2.502289
17,8,2176.0,2.176000,29.60441709,128,0,adaptive_v1,0,1,18.6156855549,16.2829611748,-0.00665455090391,4,1,0.979240572727,0.0207594272734,21.076038,2.502289
18,9,2304.0,2.304000,28.97537351,128,0,adaptive_v1,0,1,18.6156855549,16.2829611748,-0.00665455090391,4,1,0.979330141848,0.0206698581519,21.842620,2.502289
19,10,2432.0,2.432000,32.55057311,128,0,adaptive_v1,0,1,18.6156855549,16.2829611748,-0.00665455090391,4,1,0.978399716154,0.0216002838463,22.590130,2.502289
