attempted_iteration,successful_optimizer_steps,processed_nimg,processed_kimg,loss,grad_scale,step_skipped,schedule,stage,next_loop_cur_tick,loss_ema,loss_reference,correction,signal_updates,adaptive_active,r_over_t_mean,gap_mean,elapsed_sec,peak_vram_gb
1,0,128.0,0.128000,15.97663820,65536,1,sigmoid,0,1,,,0,0,0,0.985617611763,0.0143823882369,8.198905,5.777679
2,0,256.0,0.256000,15.02455795,32768,1,sigmoid,0,1,,,0,0,0,0.985632538854,0.0143674611461,9.453872,2.086741
3,0,384.0,0.384000,16.38218355,16384,1,sigmoid,0,1,,,0,0,0,0.985938287727,0.0140617122734,10.197701,2.086741
4,0,512.0,0.512000,17.54660499,8192,1,sigmoid,0,1,,,0,0,0,0.985108195351,0.0148918046487,10.940551,2.086741
5,0,640.0,0.640000,15.65527940,4096,1,sigmoid,0,1,,,0,0,0,0.986100688498,0.0138993115016,11.682236,2.086741
6,0,768.0,0.768000,16.49589241,2048,1,sigmoid,0,1,,,0,0,0,0.985309774022,0.0146902259784,12.436440,2.086741
7,0,896.0,0.896000,17.07062507,1024,1,sigmoid,0,1,,,0,0,0,0.985069129914,0.0149308700857,13.182560,2.086741
8,0,1024.0,1.024000,17.72678792,512,1,sigmoid,0,1,,,0,0,0,0.984782394382,0.0152176056182,13.930748,2.086741
9,1,1152.0,1.152000,15.91043890,256,0,sigmoid,0,1,,,0,0,0,0.985625582903,0.0143744170974,14.745183,2.086741
10,2,1280.0,1.280000,16.55839896,256,0,sigmoid,0,1,,,0,0,0,0.985928909818,0.0140710901825,15.523775,2.502289
11,2,1408.0,1.408000,30.67288423,256,1,sigmoid,0,1,,,0,0,0,0.985685323783,0.0143146762174,16.271782,2.502289
12,3,1536.0,1.536000,27.70777225,128,0,sigmoid,0,1,,,0,0,0,0.986457861945,0.0135421380545,17.026661,2.502289
13,4,1664.0,1.664000,31.34669256,128,0,sigmoid,0,1,,,0,0,0,0.985574938739,0.0144250612608,17.788466,2.502289
