method,training_seed,budget_kimg,loss,correction,r_over_t_mean,gap_mean,adaptive_active,signal_updates
sigmoid,0,16,26.38569498,0.0,0.985990140347,0.0140098596528,False,0
sigmoid,0,32,18.62054765,0.0,0.985990140347,0.0140098596528,False,0
sigmoid,0,64,17.61016238,0.0,0.98520666829,0.0147933317102,False,0
sigmoid,1,16,20.09731555,0.0,0.985528614338,0.0144713856619,False,0
sigmoid,1,32,18.0442518,0.0,0.985528614338,0.0144713856619,False,0
sigmoid,1,64,16.26046371,0.0,0.985948594077,0.0140514059233,False,0
sigmoid,2,16,30.61494064,0.0,0.985956209234,0.0140437907661,False,0
sigmoid,2,32,20.25287247,0.0,0.985956209234,0.0140437907661,False,0
sigmoid,2,64,20.15732801,0.0,0.985348618008,0.0146513819924,False,0
adaptive_v1,0,16,26.70842981,-0.0247819071088,0.96108821038,0.0389117896204,True,32
adaptive_v1,0,32,19.93077385,-0.0159298212206,0.969595466046,0.0304045339536,True,64
adaptive_v1,0,64,17.40285218,-0.00425934223343,0.98075282961,0.0192471703898,True,128
adaptive_v1,1,16,20.52969885,-0.0120768420786,0.973132518088,0.0268674819124,True,32
adaptive_v1,1,32,18.0366919,-0.0024480608288,0.982952975538,0.0170470244623,True,64
adaptive_v1,1,64,16.27367294,-6.1981075949e-05,0.985948117416,0.0140518825837,True,128
adaptive_v1,2,16,30.32159686,-0.0288389525964,0.957072216856,0.0429277831435,True,32
adaptive_v1,2,32,22.06750774,-0.0227549678244,0.962577599901,0.0374224000993,True,64
adaptive_v1,2,64,19.5012238,-0.00683546046077,0.978546535402,0.0214534645976,True,128
