schedule,training_seed,nfe,kid5k_full,fid5k_full
sigmoid,0,1,0.5911151766777039,483.6697334149404
sigmoid,0,2,0.24365434050559998,238.3564254947073
adaptive_v1,0,1,0.5948042273521423,484.78286794037683
adaptive_v1,0,2,0.2451242208480835,239.59641797869833
sigmoid,1,1,0.43927493691444397,382.9858992534891
sigmoid,1,2,0.28470897674560547,278.4626347454963
adaptive_v1,1,1,0.4075940251350403,362.11764428668954
adaptive_v1,1,2,0.28383347392082214,276.3634119465571
sigmoid,2,1,0.5667053461074829,475.3754563680849
sigmoid,2,2,0.35868123173713684,330.1752915575563
adaptive_v1,2,1,0.5734773278236389,478.1760770668619
adaptive_v1,2,2,0.36038437485694885,331.1959638405271
