attempted_iteration,successful_optimizer_steps,processed_kimg,loss,grad_scale,step_skipped,schedule,stage,next_loop_cur_tick,loss_ema,loss_reference,correction,signal_updates,adaptive_active,r_over_t_mean,gap_mean,seconds,peak_vram_mib
1,0,0.128000,16.76310182,65536,true,adaptive_v1,0,1,,,0,0,0,0.98491249914,0.0150875008604,10.173295,5916.343296
2,0,0.256000,16.28948379,32768,true,adaptive_v1,0,1,,,0,0,0,0.985574877821,0.0144251221789,11.409202,2136.822784
3,0,0.384000,17.29138613,16384,true,adaptive_v1,0,1,,,0,0,0,0.985275775324,0.0147242246763,12.152985,2136.822784
4,0,0.512000,16.39524877,8192,true,adaptive_v1,0,1,16.684805125,,0,1,0,0.985492496759,0.0145075032408,12.872108,2136.822784
5,0,0.640000,15.22479022,4096,true,adaptive_v1,0,1,16.684805125,,0,1,0,0.985239337039,0.0147606629609,13.597669,2136.822784
6,0,0.768000,15.10707498,2048,true,adaptive_v1,0,1,16.684805125,,0,1,0,0.985965760549,0.0140342394509,14.320096,2136.822784
7,0,0.896000,15.90781116,1024,true,adaptive_v1,0,1,16.684805125,,0,1,0,0.9852627738,0.0147372262004,15.051716,2136.822784
8,0,1.024000,15.50335467,512,true,adaptive_v1,0,1,16.5599003881,16.5599003881,0,2,0,0.98562232903,0.0143776709703,15.768712,2136.822784
9,1,1.152000,16.76428795,256,false,adaptive_v1,0,1,16.5599003881,16.5599003881,0,2,0,0.985831321408,0.0141686785925,16.854279,2136.822784
10,2,1.280000,20.93050337,256,false,adaptive_v1,0,1,16.5599003881,16.5599003881,0,2,0,0.985591207443,0.0144087925573,17.612624,2562.343936
11,3,1.408000,28.09616280,256,false,adaptive_v1,0,1,16.5599003881,16.5599003881,0,2,0,0.98548544767,0.0145145523295,18.350696,2562.343936
12,3,1.536000,29.65584040,256,true,adaptive_v1,0,1,17.2900802121,16.5599003881,-0.00215610233362,3,1,0.98507345889,0.0149265411096,19.070611,2562.343936
13,4,1.664000,29.73052859,128,false,adaptive_v1,0,1,17.2900802121,16.5599003881,-0.00215610233362,3,1,0.982645323148,0.0173546768523,19.822846,2562.343936
14,5,1.792000,24.23840642,128,false,adaptive_v1,0,1,17.2900802121,16.5599003881,-0.00215610233362,3,1,0.983843379869,0.0161566201306,20.571579,2562.343936
15,6,1.920000,23.62686753,128,false,adaptive_v1,0,1,17.2900802121,16.5599003881,-0.00215610233362,3,1,0.983654975236,0.0163450247636,21.318690,2562.343936
16,7,2.048000,22.23643255,128,false,adaptive_v1,0,1,18.0568780683,16.5599003881,-0.0043163561788,4,1,0.983720666903,0.0162793330968,22.054902,2562.343936
17,8,2.176000,20.73394847,128,false,adaptive_v1,0,1,18.0568780683,16.5599003881,-0.0043163561788,4,1,0.981856195956,0.0181438040438,22.798580,2562.343936
18,9,2.304000,23.88924479,128,false,adaptive_v1,0,1,18.0568780683,16.5599003881,-0.0043163561788,4,1,0.981187669076,0.018812330924,23.535605,2562.343936
19,10,2.432000,21.65222621,128,false,adaptive_v1,0,1,18.0568780683,16.5599003881,-0.0043163561788,4,1,0.981908082105,0.018091917895,24.266965,2562.343936
20,11,2.560000,20.87403393,128,false,adaptive_v1,0,1,18.4299265965,16.5599003881,-0.00532926318516,5,1,0.981847859897,0.0181521401034,25.003902,2562.343936
21,12,2.688000,22.76700091,128,false,adaptive_v1,0,1,18.4299265965,16.5599003881,-0.00532926318516,5,1,0.980157442281,0.0198425577194,25.783207,2562.343936
