attempted_iteration,successful_optimizer_steps,processed_kimg,loss,grad_scale,step_skipped,schedule,stage,next_loop_cur_tick,loss_ema,loss_reference,correction,signal_updates,adaptive_active,r_over_t_mean,gap_mean,seconds,peak_vram_mib
1,0,0.128000,16.76820278,65536,true,sigmoid,0,1,,,0,0,0,0.98491249914,0.0150875008604,10.762146,5914.405888
2,0,0.256000,16.27315915,32768,true,sigmoid,0,1,,,0,0,0,0.985574877821,0.0144251221789,12.063359,2137.244672
3,0,0.384000,17.29041457,16384,true,sigmoid,0,1,,,0,0,0,0.985275775324,0.0147242246763,12.833884,2137.244672
4,0,0.512000,16.38761914,8192,true,sigmoid,0,1,,,0,0,0,0.985492496759,0.0145075032408,13.588919,2137.244672
5,0,0.640000,15.23610234,4096,true,sigmoid,0,1,,,0,0,0,0.985239337039,0.0147606629609,14.340555,2137.244672
6,0,0.768000,15.10405636,2048,true,sigmoid,0,1,,,0,0,0,0.985965760549,0.0140342394509,15.088615,2137.244672
7,0,0.896000,15.90382826,1024,true,sigmoid,0,1,,,0,0,0,0.9852627738,0.0147372262004,15.856372,2137.244672
8,0,1.024000,15.49614954,512,true,sigmoid,0,1,,,0,0,0,0.98562232903,0.0143776709703,16.605817,2137.244672
9,1,1.152000,16.74735999,256,false,sigmoid,0,1,,,0,0,0,0.985831321408,0.0141686785925,17.465585,2137.244672
10,2,1.280000,21.30993652,256,false,sigmoid,0,1,,,0,0,0,0.985591207443,0.0144087925573,18.236253,2564.453376
11,2,1.408000,28.27337885,256,true,sigmoid,0,1,,,0,0,0,0.98548544767,0.0145145523295,19.003994,2564.453376
12,3,1.536000,30.66705084,128,false,sigmoid,0,1,,,0,0,0,0.98507345889,0.0149265411096,19.764733,2564.453376
13,4,1.664000,29.62908363,128,false,sigmoid,0,1,,,0,0,0,0.984801404152,0.0151985958483,20.532126,2564.453376
14,5,1.792000,24.89209580,128,false,sigmoid,0,1,,,0,0,0,0.985999461376,0.0140005386238,21.307700,2564.453376
15,6,1.920000,24.20464826,128,false,sigmoid,0,1,,,0,0,0,0.985811055777,0.0141889442232,22.085313,2564.453376
16,7,2.048000,22.86932969,128,false,sigmoid,0,1,,,0,0,0,0.985876744073,0.014123255927,22.856257,2564.453376
