metric,training_seed,budget_kimg,nfe,fixed_value,adaptive_value,delta_adaptive_minus_fixed,adaptive_better,paired_sampling_settings_verified,sampling_seed,num_generated,fixed_checkpoint_sha256,adaptive_checkpoint_sha256
kid_5k,0,16,1,0.591114997864,0.594804227352,0.00368922948837,false,true,0-4999,5000,32aa4661584663c40bc05a3b5c5bef3bd4e8b60e289023d491fbe46fac5478ed,7d162808dc98deec28d269693cba4242b97e52d8431017fe9e45a54a8c3d151a
fid_5k,0,16,1,483.669642034,484.782869039,1.11322700429,false,true,0-4999,5000,32aa4661584663c40bc05a3b5c5bef3bd4e8b60e289023d491fbe46fac5478ed,7d162808dc98deec28d269693cba4242b97e52d8431017fe9e45a54a8c3d151a
kid_5k,1,16,1,0.437476933002,0.427847743034,-0.00962918996811,true,true,0-4999,5000,3ffd271c99a3d09bc63c749f5b69f76af37bbbec54678e88885eb3341750e7ec,b7bc291a80298121c091945519d79f1f8c79deb318b4790e2d7371a1510b7a13
fid_5k,1,16,1,381.84189641,375.531957609,-6.30993880081,true,true,0-4999,5000,3ffd271c99a3d09bc63c749f5b69f76af37bbbec54678e88885eb3341750e7ec,b7bc291a80298121c091945519d79f1f8c79deb318b4790e2d7371a1510b7a13
kid_5k,2,16,1,0.567756175995,0.573519408703,0.00576323270798,false,true,0-4999,5000,3fed09e540f8419db32bac9c1fdfe93033aaad225198ecc2bbce4eccf26b5865,b04098a8d53449b3d2666f87b8d63e6f16ba11d6c2a5069c1d81d33d995f1d43
fid_5k,2,16,1,475.878016256,478.220183356,2.34216709976,false,true,0-4999,5000,3fed09e540f8419db32bac9c1fdfe93033aaad225198ecc2bbce4eccf26b5865,b04098a8d53449b3d2666f87b8d63e6f16ba11d6c2a5069c1d81d33d995f1d43
kid_5k,0,16,2,0.243654370308,0.245124235749,0.00146986544132,false,true,0-4999,5000,32aa4661584663c40bc05a3b5c5bef3bd4e8b60e289023d491fbe46fac5478ed,7d162808dc98deec28d269693cba4242b97e52d8431017fe9e45a54a8c3d151a
fid_5k,0,16,2,238.356426634,239.596419159,1.23999252452,false,true,0-4999,5000,32aa4661584663c40bc05a3b5c5bef3bd4e8b60e289023d491fbe46fac5478ed,7d162808dc98deec28d269693cba4242b97e52d8431017fe9e45a54a8c3d151a
kid_5k,1,16,2,0.284793674946,0.285328060389,0.000534385442734,false,true,0-4999,5000,3ffd271c99a3d09bc63c749f5b69f76af37bbbec54678e88885eb3341750e7ec,b7bc291a80298121c091945519d79f1f8c79deb318b4790e2d7371a1510b7a13
fid_5k,1,16,2,278.535449689,278.94094194,0.405492250553,false,true,0-4999,5000,3ffd271c99a3d09bc63c749f5b69f76af37bbbec54678e88885eb3341750e7ec,b7bc291a80298121c091945519d79f1f8c79deb318b4790e2d7371a1510b7a13
kid_5k,2,16,2,0.358875095844,0.360325783491,0.00145068764687,false,true,0-4999,5000,3fed09e540f8419db32bac9c1fdfe93033aaad225198ecc2bbce4eccf26b5865,b04098a8d53449b3d2666f87b8d63e6f16ba11d6c2a5069c1d81d33d995f1d43
fid_5k,2,16,2,330.291874258,331.161000533,0.86912627512,false,true,0-4999,5000,3fed09e540f8419db32bac9c1fdfe93033aaad225198ecc2bbce4eccf26b5865,b04098a8d53449b3d2666f87b8d63e6f16ba11d6c2a5069c1d81d33d995f1d43
kid_5k,0,32,1,0.488681256771,0.489093780518,0.00041252374649,false,true,0-4999,5000,cb196bf9d6ba0fdd20858cc64c59a138c625c7584a5a445a37f9bdf9380e8c71,a9f6c06d22e1e6409680efd31d43fe90714fec4a7b211ea4bd718a6cae810d9c
fid_5k,0,32,1,435.116718791,435.313568891,0.196850099885,false,true,0-4999,5000,cb196bf9d6ba0fdd20858cc64c59a138c625c7584a5a445a37f9bdf9380e8c71,a9f6c06d22e1e6409680efd31d43fe90714fec4a7b211ea4bd718a6cae810d9c
kid_5k,1,32,1,0.512568593025,0.513994038105,0.0014254450798,false,true,0-4999,5000,e5cc717d278bcd9d5ab7930486c22ce1a81e915a502deb31e6265a3e4e126b90,610f353f4afeebee9e4ab12ee1fa170365d0bb42d138aa0a06c0c087bc4e577e
fid_5k,1,32,1,441.65582203,441.9636796,0.307857570234,false,true,0-4999,5000,e5cc717d278bcd9d5ab7930486c22ce1a81e915a502deb31e6265a3e4e126b90,610f353f4afeebee9e4ab12ee1fa170365d0bb42d138aa0a06c0c087bc4e577e
kid_5k,2,32,1,0.509273707867,0.510767042637,0.0014933347702,false,true,0-4999,5000,3f1bf37bf6512751ab55bc89ad1971c98679c79d5b5979d20b4730d62c64e420,1c2e266d2e9c02459f10fbbe53c1497e8df8c656d54ea53b6c7ab69c9b3c8060
fid_5k,2,32,1,448.639770619,449.423978652,0.784208033057,false,true,0-4999,5000,3f1bf37bf6512751ab55bc89ad1971c98679c79d5b5979d20b4730d62c64e420,1c2e266d2e9c02459f10fbbe53c1497e8df8c656d54ea53b6c7ab69c9b3c8060
kid_5k,0,32,2,0.387979179621,0.388893991709,0.000914812088013,false,true,0-4999,5000,cb196bf9d6ba0fdd20858cc64c59a138c625c7584a5a445a37f9bdf9380e8c71,a9f6c06d22e1e6409680efd31d43fe90714fec4a7b211ea4bd718a6cae810d9c
fid_5k,0,32,2,353.044258189,353.54674233,0.502484141041,false,true,0-4999,5000,cb196bf9d6ba0fdd20858cc64c59a138c625c7584a5a445a37f9bdf9380e8c71,a9f6c06d22e1e6409680efd31d43fe90714fec4a7b211ea4bd718a6cae810d9c
kid_5k,1,32,2,0.215143412352,0.217176944017,0.0020335316658,false,true,0-4999,5000,e5cc717d278bcd9d5ab7930486c22ce1a81e915a502deb31e6265a3e4e126b90,610f353f4afeebee9e4ab12ee1fa170365d0bb42d138aa0a06c0c087bc4e577e
fid_5k,1,32,2,216.320162005,218.282160794,1.96199878884,false,true,0-4999,5000,e5cc717d278bcd9d5ab7930486c22ce1a81e915a502deb31e6265a3e4e126b90,610f353f4afeebee9e4ab12ee1fa170365d0bb42d138aa0a06c0c087bc4e577e
kid_5k,2,32,2,0.421430677176,0.428483128548,0.00705245137215,false,true,0-4999,5000,3f1bf37bf6512751ab55bc89ad1971c98679c79d5b5979d20b4730d62c64e420,1c2e266d2e9c02459f10fbbe53c1497e8df8c656d54ea53b6c7ab69c9b3c8060
fid_5k,2,32,2,374.854800946,379.053379808,4.19857886219,false,true,0-4999,5000,3f1bf37bf6512751ab55bc89ad1971c98679c79d5b5979d20b4730d62c64e420,1c2e266d2e9c02459f10fbbe53c1497e8df8c656d54ea53b6c7ab69c9b3c8060
kid_5k,0,64,1,0.487805515528,0.487248659134,-0.000556856393814,true,true,0-4999,5000,514b67696ca911ccdd9e16c5cce93d91e2c2c77433a82a2c2b8c0ae0b410dc9f,dc5fdcac27f49e845eae1d28571cd0c3be6756aa6aee785e3189c1c27f527aa3
fid_5k,0,64,1,429.590474191,429.745804406,0.155330214093,false,true,0-4999,5000,514b67696ca911ccdd9e16c5cce93d91e2c2c77433a82a2c2b8c0ae0b410dc9f,dc5fdcac27f49e845eae1d28571cd0c3be6756aa6aee785e3189c1c27f527aa3
kid_5k,1,64,1,0.475123345852,0.475448429585,0.000325083732605,false,true,0-4999,5000,bb98925649c0267064210a069887ae9b5dd3eff26727651318818ac2d46c09f9,c1eaef2c89c1365aa5c3e5b65c8522152468bf213923004c299ac6a058fddbdf
fid_5k,1,64,1,418.230885106,418.421415222,0.19053011568,false,true,0-4999,5000,bb98925649c0267064210a069887ae9b5dd3eff26727651318818ac2d46c09f9,c1eaef2c89c1365aa5c3e5b65c8522152468bf213923004c299ac6a058fddbdf
kid_5k,2,64,1,0.519060134888,0.519976496696,0.000916361808777,false,true,0-4999,5000,73c5b0c7b3e5130a76f80d26cb30e6969d049d941ac0e6568ee16f7c1d5bc925,3f3b4a69dec396d4af1010c6c26323d442e64b60fd3c7b354c4820c60aae1157
fid_5k,2,64,1,437.319543602,437.985043809,0.665500206516,false,true,0-4999,5000,73c5b0c7b3e5130a76f80d26cb30e6969d049d941ac0e6568ee16f7c1d5bc925,3f3b4a69dec396d4af1010c6c26323d442e64b60fd3c7b354c4820c60aae1157
kid_5k,0,64,2,0.405948251486,0.406898081303,0.000949829816818,false,true,0-4999,5000,514b67696ca911ccdd9e16c5cce93d91e2c2c77433a82a2c2b8c0ae0b410dc9f,dc5fdcac27f49e845eae1d28571cd0c3be6756aa6aee785e3189c1c27f527aa3
fid_5k,0,64,2,364.870998714,365.507492943,0.636494228946,false,true,0-4999,5000,514b67696ca911ccdd9e16c5cce93d91e2c2c77433a82a2c2b8c0ae0b410dc9f,dc5fdcac27f49e845eae1d28571cd0c3be6756aa6aee785e3189c1c27f527aa3
kid_5k,1,64,2,0.284072309732,0.274910926819,-0.00916138291359,true,true,0-4999,5000,bb98925649c0267064210a069887ae9b5dd3eff26727651318818ac2d46c09f9,c1eaef2c89c1365aa5c3e5b65c8522152468bf213923004c299ac6a058fddbdf
fid_5k,1,64,2,270.979412918,263.317393435,-7.66201948325,true,true,0-4999,5000,bb98925649c0267064210a069887ae9b5dd3eff26727651318818ac2d46c09f9,c1eaef2c89c1365aa5c3e5b65c8522152468bf213923004c299ac6a058fddbdf
kid_5k,2,64,2,0.428162544966,0.433810949326,0.00564840435982,false,true,0-4999,5000,73c5b0c7b3e5130a76f80d26cb30e6969d049d941ac0e6568ee16f7c1d5bc925,3f3b4a69dec396d4af1010c6c26323d442e64b60fd3c7b354c4820c60aae1157
fid_5k,2,64,2,377.604781356,380.971307571,3.36652621458,false,true,0-4999,5000,73c5b0c7b3e5130a76f80d26cb30e6969d049d941ac0e6568ee16f7c1d5bc925,3f3b4a69dec396d4af1010c6c26323d442e64b60fd3c7b354c4820c60aae1157
