method,training_seed,budget_kimg,nfe,mid_t,sampling_seed,num_generated,kid_5k,fid_5k,checkpoint_sha256,metric_source,run_dir,training_summary_csv,training_summary_available,training_processed_kimg,training_attempted_iterations,training_successful_optimizer_steps,training_successful_steps_valid,training_amp_skipped,training_amp_skip_rate,training_amp_skip_telemetry_complete,training_nan_count,training_inf_count,training_trailing_loss_mean,training_trailing_loss_std,training_final_loss,adaptive_active,final_correction,correction_abs_max,correction_saturation_fraction,correction_sign_changes,correction_bound_valid,final_r_over_t_mean,final_gap_mean,pair_ratio_valid,pair_gap_valid,controller_telemetry_complete
adaptive_v1,0,16,1,,0-4999,5000,0.594804227352,484.782869039,7d162808dc98deec28d269693cba4242b97e52d8431017fe9e45a54a8c3d151a,Role-A formal run manifests: sample_seeds=0-4999; sample_count=5000; metric_seed=20260722,/root/ect-runs/paired-training-v1-canonical/adaptive-v1-traj64-5344a5c9-20260722T063437Z-seed0,/mnt/ect_project/runs/packaged-traj64/adaptive_v1_traj64_seed0_5344a5c9/train_summary.csv,true,16,125,116,true,9,0.072,true,0,0,27.1611888692,1.41918364037,26.70842981,true,-0.0247819071088,0.0254429754712,0,0,true,0.96108821038,0.0389117896204,true,true,true
sigmoid,0,16,1,,0-4999,5000,0.591114997864,483.669642034,32aa4661584663c40bc05a3b5c5bef3bd4e8b60e289023d491fbe46fac5478ed,Role-A formal run manifests: sample_seeds=0-4999; sample_count=5000; metric_seed=20260722,/root/ect-runs/paired-training-v1-canonical/sigmoid-traj64-5344a5c9-20260722T062924Z-seed0,/mnt/ect_project/runs/packaged-traj64/sigmoid_traj64_seed0_5344a5c9/train_summary.csv,true,16,125,116,true,9,0.072,true,0,0,26.9646625515,1.447320802,26.38569498,false,0,0,0,0,true,0.985990140347,0.0140098596528,true,true,true
adaptive_v1,1,16,1,,0-4999,5000,0.427847743034,375.531957609,b7bc291a80298121c091945519d79f1f8c79deb318b4790e2d7371a1510b7a13,Role-A formal run manifests: sample_seeds=0-4999; sample_count=5000; metric_seed=20260722,/root/ect-runs/paired-training-v1-canonical/adaptive-v1-traj64-5344a5c9-20260722T064507Z-seed1,/mnt/ect_project/runs/packaged-traj64/adaptive_v1_traj64_seed1_5344a5c9/train_summary.csv,true,16,125,116,true,9,0.072,true,0,0,19.9296140492,1.24312844171,20.52969885,true,-0.0120768420786,0.0143095284118,0,0,true,0.973132518088,0.0268674819124,true,true,true
sigmoid,1,16,1,,0-4999,5000,0.437476933002,381.84189641,3ffd271c99a3d09bc63c749f5b69f76af37bbbec54678e88885eb3341750e7ec,Role-A formal run manifests: sample_seeds=0-4999; sample_count=5000; metric_seed=20260722,/root/ect-runs/paired-training-v1-canonical/sigmoid-traj64-5344a5c9-20260722T063952Z-seed1,/mnt/ect_project/runs/packaged-traj64/sigmoid_traj64_seed1_5344a5c9/train_summary.csv,true,16,125,116,true,9,0.072,true,0,0,19.6222937738,1.24942076558,20.09731555,false,0,0,0,0,true,0.985528614338,0.0144713856619,true,true,true
adaptive_v1,2,16,1,,0-4999,5000,0.573519408703,478.220183356,b04098a8d53449b3d2666f87b8d63e6f16ba11d6c2a5069c1d81d33d995f1d43,Role-A formal run manifests: sample_seeds=0-4999; sample_count=5000; metric_seed=20260722,/root/ect-runs/paired-training-v1-canonical/adaptive-v1-traj64-5344a5c9-20260722T065540Z-seed2,/mnt/ect_project/runs/packaged-traj64/adaptive_v1_traj64_seed2_5344a5c9/train_summary.csv,true,16,125,116,true,9,0.072,true,0,0,31.4087069031,1.78035317946,30.32159686,true,-0.0288389525964,0.02888397022,0,0,true,0.957072216856,0.0429277831435,true,true,true
sigmoid,2,16,1,,0-4999,5000,0.567756175995,475.878016256,3fed09e540f8419db32bac9c1fdfe93033aaad225198ecc2bbce4eccf26b5865,Role-A formal run manifests: sample_seeds=0-4999; sample_count=5000; metric_seed=20260722,/root/ect-runs/paired-training-v1-canonical/sigmoid-traj64-5344a5c9-20260722T065023Z-seed2,/mnt/ect_project/runs/packaged-traj64/sigmoid_traj64_seed2_5344a5c9/train_summary.csv,true,16,125,116,true,9,0.072,true,0,0,31.7242737192,1.83104841656,30.61494064,false,0,0,0,0,true,0.985956209234,0.0140437907661,true,true,true
adaptive_v1,0,16,2,0.821,0-4999,5000,0.245124235749,239.596419159,7d162808dc98deec28d269693cba4242b97e52d8431017fe9e45a54a8c3d151a,Role-A formal run manifests: sample_seeds=0-4999; sample_count=5000; metric_seed=20260722,/root/ect-runs/paired-training-v1-canonical/adaptive-v1-traj64-5344a5c9-20260722T063437Z-seed0,/mnt/ect_project/runs/packaged-traj64/adaptive_v1_traj64_seed0_5344a5c9/train_summary.csv,true,16,125,116,true,9,0.072,true,0,0,27.1611888692,1.41918364037,26.70842981,true,-0.0247819071088,0.0254429754712,0,0,true,0.96108821038,0.0389117896204,true,true,true
sigmoid,0,16,2,0.821,0-4999,5000,0.243654370308,238.356426634,32aa4661584663c40bc05a3b5c5bef3bd4e8b60e289023d491fbe46fac5478ed,Role-A formal run manifests: sample_seeds=0-4999; sample_count=5000; metric_seed=20260722,/root/ect-runs/paired-training-v1-canonical/sigmoid-traj64-5344a5c9-20260722T062924Z-seed0,/mnt/ect_project/runs/packaged-traj64/sigmoid_traj64_seed0_5344a5c9/train_summary.csv,true,16,125,116,true,9,0.072,true,0,0,26.9646625515,1.447320802,26.38569498,false,0,0,0,0,true,0.985990140347,0.0140098596528,true,true,true
adaptive_v1,1,16,2,0.821,0-4999,5000,0.285328060389,278.94094194,b7bc291a80298121c091945519d79f1f8c79deb318b4790e2d7371a1510b7a13,Role-A formal run manifests: sample_seeds=0-4999; sample_count=5000; metric_seed=20260722,/root/ect-runs/paired-training-v1-canonical/adaptive-v1-traj64-5344a5c9-20260722T064507Z-seed1,/mnt/ect_project/runs/packaged-traj64/adaptive_v1_traj64_seed1_5344a5c9/train_summary.csv,true,16,125,116,true,9,0.072,true,0,0,19.9296140492,1.24312844171,20.52969885,true,-0.0120768420786,0.0143095284118,0,0,true,0.973132518088,0.0268674819124,true,true,true
sigmoid,1,16,2,0.821,0-4999,5000,0.284793674946,278.535449689,3ffd271c99a3d09bc63c749f5b69f76af37bbbec54678e88885eb3341750e7ec,Role-A formal run manifests: sample_seeds=0-4999; sample_count=5000; metric_seed=20260722,/root/ect-runs/paired-training-v1-canonical/sigmoid-traj64-5344a5c9-20260722T063952Z-seed1,/mnt/ect_project/runs/packaged-traj64/sigmoid_traj64_seed1_5344a5c9/train_summary.csv,true,16,125,116,true,9,0.072,true,0,0,19.6222937738,1.24942076558,20.09731555,false,0,0,0,0,true,0.985528614338,0.0144713856619,true,true,true
adaptive_v1,2,16,2,0.821,0-4999,5000,0.360325783491,331.161000533,b04098a8d53449b3d2666f87b8d63e6f16ba11d6c2a5069c1d81d33d995f1d43,Role-A formal run manifests: sample_seeds=0-4999; sample_count=5000; metric_seed=20260722,/root/ect-runs/paired-training-v1-canonical/adaptive-v1-traj64-5344a5c9-20260722T065540Z-seed2,/mnt/ect_project/runs/packaged-traj64/adaptive_v1_traj64_seed2_5344a5c9/train_summary.csv,true,16,125,116,true,9,0.072,true,0,0,31.4087069031,1.78035317946,30.32159686,true,-0.0288389525964,0.02888397022,0,0,true,0.957072216856,0.0429277831435,true,true,true
