method,training_seed,budget_kimg,checkpoint_sha256,training_summary_csv,run_dir,checkpoint_path
adaptive_v1,0,0016,7d162808dc98deec28d269693cba4242b97e52d8431017fe9e45a54a8c3d151a,/mnt/ect_project/runs/packaged-traj64/adaptive_v1_traj64_seed0_5344a5c9/train_summary.csv,/root/ect-runs/paired-training-v1-canonical/adaptive-v1-traj64-5344a5c9-20260722T063437Z-seed0,/root/ect-runs/paired-training-v1-canonical/adaptive-v1-traj64-5344a5c9-20260722T063437Z-seed0/network-snapshot-kimg0016.pkl
adaptive_v1,0,0032,a9f6c06d22e1e6409680efd31d43fe90714fec4a7b211ea4bd718a6cae810d9c,/mnt/ect_project/runs/packaged-traj64/adaptive_v1_traj64_seed0_5344a5c9/train_summary.csv,/root/ect-runs/paired-training-v1-canonical/adaptive-v1-traj64-5344a5c9-20260722T063437Z-seed0,/root/ect-runs/paired-training-v1-canonical/adaptive-v1-traj64-5344a5c9-20260722T063437Z-seed0/network-snapshot-kimg0032.pkl
adaptive_v1,0,0064,dc5fdcac27f49e845eae1d28571cd0c3be6756aa6aee785e3189c1c27f527aa3,/mnt/ect_project/runs/packaged-traj64/adaptive_v1_traj64_seed0_5344a5c9/train_summary.csv,/root/ect-runs/paired-training-v1-canonical/adaptive-v1-traj64-5344a5c9-20260722T063437Z-seed0,/root/ect-runs/paired-training-v1-canonical/adaptive-v1-traj64-5344a5c9-20260722T063437Z-seed0/network-snapshot-kimg0064.pkl
adaptive_v1,1,0016,b7bc291a80298121c091945519d79f1f8c79deb318b4790e2d7371a1510b7a13,/mnt/ect_project/runs/packaged-traj64/adaptive_v1_traj64_seed1_5344a5c9/train_summary.csv,/root/ect-runs/paired-training-v1-canonical/adaptive-v1-traj64-5344a5c9-20260722T064507Z-seed1,/root/ect-runs/paired-training-v1-canonical/adaptive-v1-traj64-5344a5c9-20260722T064507Z-seed1/network-snapshot-kimg0016.pkl
adaptive_v1,1,0032,610f353f4afeebee9e4ab12ee1fa170365d0bb42d138aa0a06c0c087bc4e577e,/mnt/ect_project/runs/packaged-traj64/adaptive_v1_traj64_seed1_5344a5c9/train_summary.csv,/root/ect-runs/paired-training-v1-canonical/adaptive-v1-traj64-5344a5c9-20260722T064507Z-seed1,/root/ect-runs/paired-training-v1-canonical/adaptive-v1-traj64-5344a5c9-20260722T064507Z-seed1/network-snapshot-kimg0032.pkl
adaptive_v1,1,0064,c1eaef2c89c1365aa5c3e5b65c8522152468bf213923004c299ac6a058fddbdf,/mnt/ect_project/runs/packaged-traj64/adaptive_v1_traj64_seed1_5344a5c9/train_summary.csv,/root/ect-runs/paired-training-v1-canonical/adaptive-v1-traj64-5344a5c9-20260722T064507Z-seed1,/root/ect-runs/paired-training-v1-canonical/adaptive-v1-traj64-5344a5c9-20260722T064507Z-seed1/network-snapshot-kimg0064.pkl
adaptive_v1,2,0016,b04098a8d53449b3d2666f87b8d63e6f16ba11d6c2a5069c1d81d33d995f1d43,/mnt/ect_project/runs/packaged-traj64/adaptive_v1_traj64_seed2_5344a5c9/train_summary.csv,/root/ect-runs/paired-training-v1-canonical/adaptive-v1-traj64-5344a5c9-20260722T065540Z-seed2,/root/ect-runs/paired-training-v1-canonical/adaptive-v1-traj64-5344a5c9-20260722T065540Z-seed2/network-snapshot-kimg0016.pkl
adaptive_v1,2,0032,1c2e266d2e9c02459f10fbbe53c1497e8df8c656d54ea53b6c7ab69c9b3c8060,/mnt/ect_project/runs/packaged-traj64/adaptive_v1_traj64_seed2_5344a5c9/train_summary.csv,/root/ect-runs/paired-training-v1-canonical/adaptive-v1-traj64-5344a5c9-20260722T065540Z-seed2,/root/ect-runs/paired-training-v1-canonical/adaptive-v1-traj64-5344a5c9-20260722T065540Z-seed2/network-snapshot-kimg0032.pkl
adaptive_v1,2,0064,3f3b4a69dec396d4af1010c6c26323d442e64b60fd3c7b354c4820c60aae1157,/mnt/ect_project/runs/packaged-traj64/adaptive_v1_traj64_seed2_5344a5c9/train_summary.csv,/root/ect-runs/paired-training-v1-canonical/adaptive-v1-traj64-5344a5c9-20260722T065540Z-seed2,/root/ect-runs/paired-training-v1-canonical/adaptive-v1-traj64-5344a5c9-20260722T065540Z-seed2/network-snapshot-kimg0064.pkl
sigmoid,0,0016,32aa4661584663c40bc05a3b5c5bef3bd4e8b60e289023d491fbe46fac5478ed,/mnt/ect_project/runs/packaged-traj64/sigmoid_traj64_seed0_5344a5c9/train_summary.csv,/root/ect-runs/paired-training-v1-canonical/sigmoid-traj64-5344a5c9-20260722T062924Z-seed0,/root/ect-runs/paired-training-v1-canonical/sigmoid-traj64-5344a5c9-20260722T062924Z-seed0/network-snapshot-kimg0016.pkl
