attempted_iteration,successful_optimizer_steps,processed_kimg,loss,grad_scale,step_skipped,schedule,stage,next_loop_cur_tick,loss_ema,loss_reference,correction,signal_updates,adaptive_active,r_over_t_mean,gap_mean,seconds,peak_vram_mib
1,0,0.128000,16.01631200,65536,true,sigmoid,0,1,,,0,0,0,0.985617611763,0.0143823882369,8.545456,5916.530688
2,0,0.256000,15.02882767,32768,true,sigmoid,0,1,,,0,0,0,0.985632538854,0.0143674611461,10.091485,2133.932032
3,0,0.384000,16.39769340,16384,true,sigmoid,0,1,,,0,0,0,0.985938287727,0.0140617122734,11.007641,2133.932032
4,0,0.512000,17.54682064,8192,true,sigmoid,0,1,,,0,0,0,0.985108195351,0.0148918046487,11.927609,2133.932032
5,0,0.640000,15.66431653,4096,true,sigmoid,0,1,,,0,0,0,0.986100688498,0.0138993115016,12.842616,2133.932032
6,0,0.768000,16.49437988,2048,true,sigmoid,0,1,,,0,0,0,0.985309774022,0.0146902259784,13.758536,2133.932032
7,0,0.896000,17.08746445,1024,true,sigmoid,0,1,,,0,0,0,0.985069129914,0.0149308700857,14.648961,2133.932032
8,0,1.024000,17.72230852,512,true,sigmoid,0,1,,,0,0,0,0.984782394382,0.0152176056182,15.556512,2133.932032
9,1,1.152000,15.90104389,256,false,sigmoid,0,1,,,0,0,0,0.985625582903,0.0143744170974,16.546131,2133.932032
10,2,1.280000,16.44915807,256,false,sigmoid,0,1,,,0,0,0,0.985928909818,0.0140710901825,17.496500,2565.139456
11,2,1.408000,30.72275257,256,true,sigmoid,0,1,,,0,0,0,0.985685323783,0.0143146762174,18.401063,2565.139456
12,3,1.536000,27.76761127,128,false,sigmoid,0,1,,,0,0,0,0.986457861945,0.0135421380545,19.376157,2565.139456
13,4,1.664000,31.34067392,128,false,sigmoid,0,1,,,0,0,0,0.985574938739,0.0144250612608,20.307929,2565.139456
14,5,1.792000,33.44773912,128,false,sigmoid,0,1,,,0,0,0,0.985060260493,0.0149397395069,21.235898,2565.139456
15,6,1.920000,33.99147606,128,false,sigmoid,0,1,,,0,0,0,0.984829846503,0.0151701534967,22.161340,2565.139456
16,7,2.048000,37.09808064,128,false,sigmoid,0,1,,,0,0,0,0.984193810153,0.0158061898466,23.058176,2565.139456
17,8,2.176000,29.67621708,128,false,sigmoid,0,1,,,0,0,0,0.985895132709,0.014104867291,23.966871,2565.139456
18,9,2.304000,29.01898265,128,false,sigmoid,0,1,,,0,0,0,0.98598470338,0.01401529662,24.861614,2565.139456
19,10,2.432000,32.55558562,128,false,sigmoid,0,1,,,0,0,0,0.985054276053,0.0149457239475,25.760632,2565.139456
20,11,2.560000,31.65004134,128,false,sigmoid,0,1,,,0,0,0,0.985384436708,0.0146155632923,26.672166,2565.139456
21,12,2.688000,30.80876756,128,false,sigmoid,0,1,,,0,0,0,0.985909523964,0.0140904760363,27.583285,2565.139456
22,13,2.816000,35.03386164,128,false,sigmoid,0,1,,,0,0,0,0.984703791637,0.0152962083634,28.517711,2565.139456
23,14,2.944000,33.02353978,128,false,sigmoid,0,1,,,0,0,0,0.985037795322,0.0149622046782,29.414100,2565.139456
24,15,3.072000,31.45961499,128,false,sigmoid,0,1,,,0,0,0,0.985349144328,0.0146508556715,30.364422,2565.139456
25,16,3.200000,29.53679681,128,false,sigmoid,0,1,,,0,0,0,0.985410481213,0.0145895187873,31.308234,2565.139456
26,17,3.328000,29.39157653,128,false,sigmoid,0,1,,,0,0,0,0.986044559817,0.0139554401833,32.205505,2565.139456
27,18,3.456000,31.57171631,128,false,sigmoid,0,1,,,0,0,0,0.985380117683,0.0146198823174,33.089245,2565.139456
28,19,3.584000,33.69315434,128,false,sigmoid,0,1,,,0,0,0,0.984702384635,0.0152976153647,33.951684,2565.139456
29,20,3.712000,29.41479397,128,false,sigmoid,0,1,,,0,0,0,0.986099549801,0.0139004501993,34.844354,2565.139456
30,21,3.840000,31.74056315,128,false,sigmoid,0,1,,,0,0,0,0.985221323739,0.0147786762608,35.737173,2565.139456
31,22,3.968000,29.57430720,128,false,sigmoid,0,1,,,0,0,0,0.985785769022,0.0142142309783,36.681079,2565.139456
32,23,4.096000,31.09924078,128,false,sigmoid,0,2,,,0,0,0,0.985542401604,0.0144575983958,37.588446,2565.139456
